+------------------------------------------------------+--------------------------------+----------+----------------+------------------------+------------------------+---------------+
|                         TYPE                         |          DESCRIPTION           |  FILES   | VOLUMN (BYTE)  |       BEGIN DATE       |        END DATE        | ROLLING DAYS  |
|                                                      | (autosnow) 2km                 |          |                |                        |                        |               |
| ATCF_JTWC_A_DECK                                     | Official Track and Intensity   | 8975     | 31126499167    | 2024-07-26 00:34:00+00 | 2025-08-02 23:59:59+00 | 365           |
|                                                      | forecasts in comma delimited   |          |                |                        |                        |               |
|                                                      | format. Also contains NWP      |          |                |                        |                        |               |
|                                                      | guidance on Tropical Cyclones  |          |                |                        |                        |               |
|                                                      | in comma delimited format      |          |                |                        |                        |               |
|                                                      | using TC trackers.             |          |                |                        |                        |               |
| ATCF_JTWC_B_DECK                                     | Official synoptic hour         | 9611     | 39583319       | 2024-07-26 00:32:51+00 | 2025-08-02 23:59:59+00 | 365           |
|                                                      | positions and intensity        |          |                |                        |                        |               |
|                                                      | and wind radii of Tropical     |          |                |                        |                        |               |
|                                                      | Cyclones in comma delimited    |          |                |                        |                        |               |
|                                                      | format. Indicates the best     |          |                |                        |                        |               |
|                                                      | position known at synoptic     |          |                |                        |                        |               |
|                                                      | time.                          |          |                |                        |                        |               |
| ATCF_JTWC_COM                                        | Contains the latest position   | 729      | 1682183        | 2024-07-26 00:37:16+00 | 2025-08-01 23:59:59+00 | 365           |
|                                                      | fix and intensity of Tropical  |          |                |                        |                        |               |
|                                                      | Cyclones in comma delimited    |          |                |                        |                        |               |
|                                                      | format and includes previous   |          |                |                        |                        |               |
|                                                      | -24 hour positions and         |          |                |                        |                        |               |
|                                                      | intensities for use in model   |          |                |                        |                        |               |
|                                                      | TC bogusing                    |          |                |                        |                        |               |
| ATCF_JTWC_FST                                        | Contains the latest Offical    | 2075     | 3956143        | 2024-07-26 02:36:47+00 | 2025-08-01 23:59:59+00 | 365           |
|                                                      | Forecast -OFCL.                |          |                |                        |                        |               |
| ATCF_NHC_A_DECK                                      | Official Track and Intensity   | 4645     | 1683688252     | 2024-07-26 00:38:00+00 | 2025-08-02 23:59:59+00 | 365           |
|                                                      | forecasts in comma delimited   |          |                |                        |                        |               |
|                                                      | format. Also contains NWP      |          |                |                        |                        |               |
|                                                      | guidance on Tropical Cyclones  |          |                |                        |                        |               |
|                                                      | in comma delimited format      |          |                |                        |                        |               |
|                                                      | using TC trackers from NHC     |          |                |                        |                        |               |
| ATCF_NHC_B_DECK                                      | Official synoptic hour         | 2523     | 15734941       | 2024-07-26 00:40:00+00 | 2025-08-02 23:59:59+00 | 365           |
|                                                      | positions and intensity        |          |                |                        |                        |               |
|                                                      | and wind radii of Tropical     |          |                |                        |                        |               |
|                                                      | Cyclones in comma delimited    |          |                |                        |                        |               |
|                                                      | format. Indicates the best     |          |                |                        |                        |               |
|                                                      | position known at synoptic     |          |                |                        |                        |               |
|                                                      | time from NHC                  |          |                |                        |                        |               |
| ATCF_NHC_COM                                         | Contains the latest position   | 1384     | 3444004        | 2024-07-26 00:40:00+00 | 2025-08-02 23:59:59+00 | 365           |
|                                                      | fix and intensity of Tropical  |          |                |                        |                        |               |
|                                                      | Cyclones in comma delimited    |          |                |                        |                        |               |
|                                                      | format and includes previous   |          |                |                        |                        |               |
|                                                      | -24 hour positions and         |          |                |                        |                        |               |
|                                                      | intensities for use in model   |          |                |                        |                        |               |
|                                                      | TC bogusing from NHC           |          |                |                        |                        |               |
| ATCF_NHC_FST                                         | Contains the latest Offical    | 771      | 1645915        | 2024-07-08 02:58:35+00 | 2025-08-01 23:59:59+00 | 365           |
|                                                      | Forecast –OFCL from NHC        |          |                |                        |                        |               |
| AWS-MWR-L1B                                          | Arctic Weather Satellite MWR   | 1123     | 395139146762   | 2025-05-01 18:43:37+00 | 2025-08-02 01:38:42+00 | 90            |
|                                                      | Level 1B product               |          |                |                        |                        |               |
| BHP-ALPW                                             | Blended Hydro ALPW blended     | 315      | 10924556390    | 2025-07-19 14:00:00+00 | 2025-08-02 01:00:00+00 | 7             |
|                                                      | NetCDF4 outputs                |          |                |                        |                        |               |
| BHP-PCT                                              | The percentage of TPW normal   | 315      | 5236412022     | 2025-07-19 10:59:39+00 | 2025-08-02 00:00:00+00 | 7             |
|                                                      | of the unified global TPW      |          |                |                        |                        |               |
|                                                      | map from the TPW weekly        |          |                |                        |                        |               |
|                                                      | climetology. The product       |          |                |                        |                        |               |
|                                                      | is generated from Blended      |          |                |                        |                        |               |
|                                                      | Hydrometeorological Products   |          |                |                        |                        |               |
|                                                      | (BHP) product system.          |          |                |                        |                        |               |
| BHP-RR                                               | Unified global Rain Rate map   | 314      | 917546148      | 2025-07-19 12:08:08+00 | 2025-08-01 22:58:24+00 | 7             |
|                                                      | from multi-satellites/sensors. |          |                |                        |                        |               |
|                                                      | The product is generated from  |          |                |                        |                        |               |
|                                                      | Blended Hydrometeorological    |          |                |                        |                        |               |
|                                                      | Products (BHP) product system. |          |                |                        |                        |               |
| BHP-TPW                                              | Unified global Total           | 315      | 4876731323     | 2025-07-19 10:59:39+00 | 2025-08-02 00:00:00+00 | 7             |
|                                                      | Precipitable Water map from    |          |                |                        |                        |               |
|                                                      | multi-satellites/sensors.      |          |                |                        |                        |               |
|                                                      | The product is generated from  |          |                |                        |                        |               |
|                                                      | Blended Hydrometeorological    |          |                |                        |                        |               |
|                                                      | Products (BHP) product system. |          |                |                        |                        |               |
| BHP_TPW_HDF                                          | Blended Hydro HDF TPW          | 315      | 16122499752    | 2025-07-19 22:00:00+00 | 2025-08-02 00:59:59+00 | 7             |
|                                                      | composite product.             |          |                |                        |                        |               |
| BLENDED_HYDRO_FD_REMAP                               | Blended Hydro HDF full disk    | 315      | 3032629814     | 2025-07-19 23:00:23+00 | 2025-08-02 02:10:22+00 | 7             |
|                                                      | remap product.                 |          |                |                        |                        |               |
| BLENDED_HYDRO_RR_CORR_REMAP                          | Blended Hydro HDF RR           | 5941     | 47524841097    | 2025-07-19 22:38:27+00 | 2025-08-02 02:18:26+00 | 7             |
|                                                      | correction remap product.      |          |                |                        |                        |               |
| BLENDED_HYDRO_TPW_CORR_REMAP                         |  Blended Hydro HDF TPW         | 5933     | 47913962206    | 2025-07-19 22:38:27+00 | 2025-08-02 01:48:26+00 | 7             |
|                                                      | correction remap product.      |          |                |                        |                        |               |
| BUNDLED-EFIRE                                        | Bundled Enterprise Fire        | 45020    | 369251706880   | 2025-04-27 22:27:23+00 | 2025-08-02 01:40:48+00 | 90            |
|                                                      | (eFire) VIIRS I-Band product   |          |                |                        |                        |               |
| BUOYSST                                              | BUOYSST 0-23hr-Buoy/SST        | 890      | 152835604      | 2025-06-26 00:00:00+00 | 2025-08-02 23:59:59+00 | 30            |
| CLAVR-X-FRAC-L2                                      | CLAVR-X FRAC Level 2 End       | 893      | 336836313344   | 2022-10-01 12:42:00+00 | 2022-10-31 13:18:00+00 | 30            |
|                                                      | Product                        |          |                |                        |                        |               |
| CLAVR-X-GAC-L2                                       | CLAVR-X GAC Level 2 End        | 1294     | 54910689757    | 2022-10-01 13:01:00+00 | 2022-10-31 13:53:00+00 | 30            |
|                                                      | Product                        |          |                |                        |                        |               |
| CLOUD_AVHRR_CCL_FRAC                                 | AVHRR Cloud Cover Layer FRAC   | 159      | 89733862841    | 2025-07-21 19:44:32+00 | 2025-08-01 22:40:24+00 | 5             |
| CLOUD_AVHRR_CCL_GHRR                                 | AVHRR Cloud Cover Layer GHRR   | 158      | 6576319207     | 2025-07-21 19:44:32+00 | 2025-08-01 22:40:24+00 | 5             |
| CLOUD_AVHRR_CHGT_FRAC                                | AVHRR Cloud Top Height FRAC    | 453      | 539603396976   | 2025-07-21 20:34:45+00 | 2025-08-01 23:31:45+00 | 5             |
| CLOUD_AVHRR_CHGT_GHRR                                | AVHRR Cloud Top Height GHRR    | 158      | 20848497954    | 2025-07-21 19:44:32+00 | 2025-08-01 22:40:24+00 | 5             |
| CLOUD_AVHRR_CMSK_FRAC                                | AVHRR Cloud Mask FRAC          | 453      | 159297802539   | 2025-07-21 20:34:45+00 | 2025-08-02 00:22:40+00 | 5             |
| CLOUD_AVHRR_CMSK_GHRR                                | AVHRR Cloud Mask GHRR          | 158      | 6197990088     | 2025-07-21 19:44:32+00 | 2025-08-01 22:40:24+00 | 5             |
| CLOUD_AVHRR_CPHS_FRAC                                | AVHRR Cloud Phase FRAC         | 450      | 69856156488    | 2025-07-21 20:34:45+00 | 2025-08-01 23:31:45+00 | 5             |
| CLOUD_AVHRR_CPHS_GHRR                                | AVHRR Cloud Phase GHRR         | 158      | 3028551683     | 2025-07-21 19:44:32+00 | 2025-08-01 22:40:24+00 | 5             |
| CLOUD_AVHRR_DCOMP_FRAC                               | AVHRR Daytime Cloud Optical    | 160      | 88660261080    | 2025-07-21 19:44:32+00 | 2025-08-02 00:22:40+00 | 5             |
|                                                      | and Microphysical Properties   |          |                |                        |                        |               |
|                                                      | FRAC                           |          |                |                        |                        |               |
| CLOUD_AVHRR_DCOMP_GHRR                               | AVHRR Daytime Cloud Optical    | 158      | 7067330364     | 2025-07-21 19:44:32+00 | 2025-08-01 22:40:24+00 | 5             |
|                                                      | and Microphysical Properties   |          |                |                        |                        |               |
|                                                      | GHRR                           |          |                |                        |                        |               |
| CMC_SST_0.1                                          | Canadian Met Center SST        | 127      | 913963045      | 2025-03-27 00:00:00+00 | 2025-08-01 00:00:00+00 | 120           |
|                                                      | analysis at 0.1 degree grid    |          |                |                        |                        |               |
|                                                      | spacing                        |          |                |                        |                        |               |
| COASTWATCH_AVHRR_REGION                              | CoastWatch AVHRR Mapped Region | 677      | 3772491714     | 2025-07-19 00:42:00+00 | 2025-08-03 00:00:00+00 | 7             |
|                                                      | Files                          |          |                |                        |                        |               |
| COASTWATCH_AVHRR_SWATH                               | CoastWatch AVHRR Mapped Swath  | 209      | 12761029776    | 2025-07-19 00:42:00+00 | 2025-08-03 00:00:00+00 | 7             |
|                                                      | Files                          |          |                |                        |                        |               |
| COASTWATCH_VIIRS_REGION                              | CoastWatch VIIRS Mapped Region | 2156     | 13882367697    | 2025-07-19 00:20:00+00 | 2025-08-02 00:00:00+00 | 7             |
|                                                      | Files                          |          |                |                        |                        |               |
| CRIS_C2211_BUFR                                      | CrIS thinned radiances (2211   | 178474   | 838147293288   | 2025-05-27 22:39:55+00 | 2025-08-02 01:51:29+00 | 90            |
|                                                      | channels) NUCAPS output        |          |                |                        |                        |               |
|                                                      | converted to BUFR              |          |                |                        |                        |               |
| CRW_BAA_5KM                                          | Coral Reef Watch Bleaching     | 22       | 16098877       | 2025-07-10 00:00:00+00 | 2025-07-31 23:59:59+00 | 15            |
|                                                      | Alert Area 5km NetCDF          |          |                |                        |                        |               |
| CRW_BAA_5KM_GLOBAL_PNG                               | Global Coral Reef Watch        | 22       | 10499086       | 2025-07-10 00:00:00+00 | 2025-07-31 23:59:59+00 | 15            |
|                                                      | Bleaching Alert Area 5km in    |          |                |                        |                        |               |
|                                                      | PNG format                     |          |                |                        |                        |               |
| CRW_BAA_5KM_PNG                                      | Coral Reef Watch Bleaching     | 22       | 14001634       | 2025-07-10 00:00:00+00 | 2025-07-31 23:59:59+00 | 15            |
|                                                      | Alert Area 5km in PNG format   |          |                |                        |                        |               |
| CRW_BAA_MAX_7D_5KM                                   | Coral Reef Watch Bleaching     | 22       | 16644623       | 2025-07-10 00:00:00+00 | 2025-07-31 23:59:59+00 | 15            |
|                                                      | Alert Area Max 7-day 5km       |          |                |                        |                        |               |
|                                                      | NetCDF                         |          |                |                        |                        |               |
| CRW_BAA_MAX_7D_5KM_GLOBAL_PNG                        | Global Coral Reef Watch        | 22       | 10637043       | 2025-07-10 00:00:00+00 | 2025-07-31 23:59:59+00 | 15            |
|                                                      | Bleaching Alert Area Max 7-day |          |                |                        |                        |               |
|                                                      | 5km in PNG format              |          |                |                        |                        |               |
| CRW_BAA_MAX_7D_5KM_PNG                               | Coral Reef Watch Bleaching     | 22       | 14788000       | 2025-07-10 00:00:00+00 | 2025-07-31 23:59:59+00 | 15            |
|                                                      | Alert Area Max 7-day 5km in    |          |                |                        |                        |               |
|                                                      | PNG format                     |          |                |                        |                        |               |
| CRW_BAA_MAX_YTD_5KM                                  | Coral Reef Watch Bleaching     | 22       | 127278839      | 2025-07-10 00:00:00+00 | 2025-07-31 23:59:59+00 | 15            |
|                                                      | Alert Area Max Year-To-Date    |          |                |                        |                        |               |
|                                                      | 5km NetCDF                     |          |                |                        |                        |               |
| CRW_BAA_MAX_YTD_5KM_GLOBAL_PNG                       | Global Coral Reef Watch        | 22       | 11892307       | 2025-07-10 00:00:00+00 | 2025-07-31 23:59:59+00 | 15            |
|                                                      | Bleaching Alert Area Max       |          |                |                        |                        |               |
|                                                      | Year-To-Date 5km in PNG format |          |                |                        |                        |               |
| CRW_BAA_MAX_YTD_5KM_PNG                              | Coral Reef Watch Bleaching     | 22       | 24522887       | 2025-07-10 00:00:00+00 | 2025-07-31 23:59:59+00 | 15            |
|                                                      | Alert Area Max Year-To-Date    |          |                |                        |                        |               |
|                                                      | 5km in PNG format              |          |                |                        |                        |               |
| CRW_DHW_5KM                                          | Coral Reef Watch Degree        | 22       | 76506119       | 2025-07-10 00:00:00+00 | 2025-07-31 23:59:59+00 | 15            |
|                                                      | Heating Weeks 5km NetCDF       |          |                |                        |                        |               |
| CRW_DHW_5KM_GLOBAL_PNG                               | Global Coral Reef Watch Degree | 22       | 10981688       | 2025-07-10 00:00:00+00 | 2025-07-31 23:59:59+00 | 15            |
|                                                      | Heating Weeks 5km in PNG       |          |                |                        |                        |               |
|                                                      | format                         |          |                |                        |                        |               |
| CRW_DHW_5KM_PNG                                      | Coral Reef Watch Degree        | 22       | 24244744       | 2025-07-10 00:00:00+00 | 2025-07-31 23:59:59+00 | 15            |
|                                                      | Heating Weeks 5km in PNG       |          |                |                        |                        |               |
|                                                      | format                         |          |                |                        |                        |               |
| CRW_DHW_MAX_YTD_5KM                                  | Coral Reef Watch Degree        | 22       | 265494303      | 2025-07-10 00:00:00+00 | 2025-07-31 23:59:59+00 | 15            |
|                                                      | Heating Weeks Max Year-To-Date |          |                |                        |                        |               |
|                                                      | 5km NetCDF                     |          |                |                        |                        |               |
| CRW_DHW_MAX_YTD_5KM_GLOBAL_PNG                       | Global Coral Reef Watch Degree | 22       | 14955066       | 2025-07-10 00:00:00+00 | 2025-07-31 23:59:59+00 | 15            |
|                                                      | Heating Weeks Max Year-To-Date |          |                |                        |                        |               |
|                                                      | 5km in PNG format              |          |                |                        |                        |               |
| CRW_DHW_MAX_YTD_5KM_PNG                              | Coral Reef Watch Degree        | 22       | 56711117       | 2025-07-10 00:00:00+00 | 2025-07-31 23:59:59+00 | 15            |
|                                                      | Heating Weeks Max Year-To-Date |          |                |                        |                        |               |
|                                                      | 5km in PNG format              |          |                |                        |                        |               |
| CRW_HS_5KM                                           | Coral Reef Watch Hot Spots 5km | 22       | 252183131      | 2025-07-10 00:00:00+00 | 2025-07-31 23:59:59+00 | 15            |
|                                                      | NetCDF                         |          |                |                        |                        |               |
| CRW_HS_5KM_GLOBAL_PNG                                | Global Coral Reef Watch Hot    | 22       | 12205724       | 2025-07-10 00:00:00+00 | 2025-07-31 23:59:59+00 | 15            |
|                                                      | Spots 5km in PNG format        |          |                |                        |                        |               |
| CRW_HS_5KM_PNG                                       | Coral Reef Watch Hot Spots 5km | 22       | 39289972       | 2025-07-10 00:00:00+00 | 2025-07-31 23:59:59+00 | 15            |
|                                                      | in PNG format                  |          |                |                        |                        |               |
| CRW_HS_MAX_YTD_5KM                                   | Coral Reef Watch Hot Spots Max | 22       | 310509913      | 2025-07-10 00:00:00+00 | 2025-07-31 23:59:59+00 | 15            |
|                                                      | Year-To-Date 5km NetCDF        |          |                |                        |                        |               |
| CRW_HS_MAX_YTD_5KM_GLOBAL_PNG                        | Global Coral Reef Watch Hot    | 22       | 19103004       | 2025-07-10 00:00:00+00 | 2025-07-31 23:59:59+00 | 15            |
|                                                      | Spots Max Year-To-Date 5km in  |          |                |                        |                        |               |
|                                                      | PNG format                     |          |                |                        |                        |               |
| CRW_HS_MAX_YTD_5KM_PNG                               | Coral Reef Watch Hot Spots     | 22       | 100281247      | 2025-07-10 00:00:00+00 | 2025-07-31 23:59:59+00 | 15            |
|                                                      | Max Year-To-Date 5km in  PNG   |          |                |                        |                        |               |
|                                                      | format                         |          |                |                        |                        |               |
| CRW_SST_5KM                                          | Coral Reef Watch SST 5km       | 22       | 265191590      | 2025-07-10 00:00:00+00 | 2025-07-31 23:59:59+00 | 15            |
|                                                      | NetCDF                         |          |                |                        |                        |               |
| CRW_SST_5KM_GLOBAL_PNG                               | Global Coral Reef Watch SST    | 22       | 16442382       | 2025-07-10 00:00:00+00 | 2025-07-31 23:59:59+00 | 15            |
|                                                      | 5km in PNG format              |          |                |                        |                        |               |
| CRW_SST_5KM_PNG                                      | Coral Reef Watch SST 5km in    | 22       | 76066062       | 2025-07-10 00:00:00+00 | 2025-07-31 23:59:59+00 | 15            |
|                                                      | PNG format                     |          |                |                        |                        |               |
| CRW_SSTA_5KM                                         | Coral Reef Watch SST Anomaly   | 22       | 245739194      | 2025-07-10 00:00:00+00 | 2025-07-31 23:59:59+00 | 15            |
|                                                      | 5km NetCDF                     |          |                |                        |                        |               |
| CRW_SSTA_5KM_GLOBAL_PNG                              | Global Coral Reef Watch SST    | 22       | 19445769       | 2025-07-10 00:00:00+00 | 2025-07-31 23:59:59+00 | 15            |
|                                                      | Anomaly 5km in PNG format      |          |                |                        |                        |               |
| CRW_SSTA_5KM_PNG                                     | Coral Reef Watch SST Anomaly   | 22       | 100849625      | 2025-07-10 00:00:00+00 | 2025-07-31 23:59:59+00 | 15            |
|                                                      | 5km in PNG format              |          |                |                        |                        |               |
| CRW_SSTA_MAX_YTD_5KM                                 | Coral Reef Watch SST Anomaly   | 22       | 331151651      | 2025-07-10 00:00:00+00 | 2025-07-31 23:59:59+00 | 15            |
|                                                      | Max Year-To-Date 5km NetCDF    |          |                |                        |                        |               |
| CRW_SSTA_MAX_YTD_5KM_GLOBAL_PNG                      | Global Coral Reef Watch SST    | 22       | 18844868       | 2025-07-10 00:00:00+00 | 2025-07-31 23:59:59+00 | 15            |
|                                                      | Anomaly Max Year-To-Date 5km   |          |                |                        |                        |               |
|                                                      | in PNG format                  |          |                |                        |                        |               |
| CRW_SSTA_MAX_YTD_5KM_PNG                             | Coral Reef Watch SST Anomaly   | 22       | 99312180       | 2025-07-10 00:00:00+00 | 2025-07-31 23:59:59+00 | 15            |
|                                                      | Max Year-To-Date 5km in PNG    |          |                |                        |                        |               |
|                                                      | format                         |          |                |                        |                        |               |
| CRW_SSTA_MEAN_YTD_5KM                                | Coral Reef Watch SST Anomaly   | 22       | 185714474      | 2025-07-10 00:00:00+00 | 2025-07-31 23:59:59+00 | 15            |
|                                                      | Mean Year-To-Date 5km NetCDF   |          |                |                        |                        |               |
| CRW_SSTA_MEAN_YTD_5KM_GLOBAL_PNG                     | Global Coral Reef Watch SST    | 22       | 14690596       | 2025-07-10 00:00:00+00 | 2025-07-31 23:59:59+00 | 15            |
|                                                      | Anomaly Mean Year-To-Date 5km  |          |                |                        |                        |               |
|                                                      | in  PNG format                 |          |                |                        |                        |               |
| CRW_SSTA_MEAN_YTD_5KM_PNG                            | Coral Reef Watch SST Anomaly   | 22       | 62634446       | 2025-07-10 00:00:00+00 | 2025-07-31 23:59:59+00 | 15            |
|                                                      | Mean Year-To-Date 5km in  PNG  |          |                |                        |                        |               |
|                                                      | format                         |          |                |                        |                        |               |
| CRW_SSTA_MIN_YTD_5KM                                 | Coral Reef Watch SST Anomaly   | 22       | 336409355      | 2025-07-10 00:00:00+00 | 2025-07-31 23:59:59+00 | 15            |
|                                                      | Min Year-To-Date 5km NetCDF    |          |                |                        |                        |               |
| CRW_SSTA_MIN_YTD_5KM_GLOBAL_PNG                      | Global Coral Reef Watch SST    | 22       | 18961161       | 2025-07-10 00:00:00+00 | 2025-07-31 23:59:59+00 | 15            |
|                                                      | Anomaly Min Year-To-Date 5km   |          |                |                        |                        |               |
|                                                      | in PNG format                  |          |                |                        |                        |               |
| CRW_SSTA_MIN_YTD_5KM_PNG                             | Coral Reef Watch SST Anomaly   | 22       | 99140816       | 2025-07-10 00:00:00+00 | 2025-07-31 23:59:59+00 | 15            |
|                                                      | Min Year-To-Date 5km in PNG    |          |                |                        |                        |               |
|                                                      | format                         |          |                |                        |                        |               |
| CRW_SST_MAX_YTD_5KM                                  | Coral Reef Watch SST Max       | 22       | 313985853      | 2025-07-10 00:00:00+00 | 2025-07-31 23:59:59+00 | 15            |
|                                                      | Year-To-Date 5km NetCDF        |          |                |                        |                        |               |
| CRW_SST_MAX_YTD_5KM_GLOBAL_PNG                       | Global Coral Reef Watch SST    | 22       | 15794365       | 2025-07-10 00:00:00+00 | 2025-07-31 23:59:59+00 | 15            |
|                                                      | Max Year-To-Date 5km in PNG    |          |                |                        |                        |               |
|                                                      | format                         |          |                |                        |                        |               |
| CRW_SST_MAX_YTD_5KM_PNG                              | Coral Reef Watch SST Max       | 22       | 70823267       | 2025-07-10 00:00:00+00 | 2025-07-31 23:59:59+00 | 15            |
|                                                      | Year-To-Date 5km in PNG format |          |                |                        |                        |               |
| CRW_SST_MEAN_YTD_5KM                                 | Coral Reef Watch SST Mean      | 22       | 202932252      | 2025-07-10 00:00:00+00 | 2025-07-31 23:59:59+00 | 15            |
|                                                      | Year-To-Date 5km NetCDF        |          |                |                        |                        |               |
| CRW_SST_MEAN_YTD_5KM_GLOBAL_PNG                      | Global Coral Reef Watch SST    | 22       | 13502324       | 2025-07-10 00:00:00+00 | 2025-07-31 23:59:59+00 | 15            |
|                                                      | Mean Year-To-Date 5km in PNG   |          |                |                        |                        |               |
|                                                      | format                         |          |                |                        |                        |               |
| CRW_SST_MEAN_YTD_5KM_PNG                             | Coral Reef Watch SST Mean      | 22       | 48960055       | 2025-07-10 00:00:00+00 | 2025-07-31 23:59:59+00 | 15            |
|                                                      | Year-To-Date 5km in PNG format |          |                |                        |                        |               |
| CRW_SST_MIN_YTD_5KM                                  | Coral Reef Watch SST Min       | 22       | 324422615      | 2025-07-10 00:00:00+00 | 2025-07-31 23:59:59+00 | 15            |
|                                                      | Year-To-Date 5km NetCDF        |          |                |                        |                        |               |
| CRW_SST_MIN_YTD_5KM_GLOBAL_PNG                       | Global Coral Reef Watch SST    | 22       | 16266152       | 2025-07-10 00:00:00+00 | 2025-07-31 23:59:59+00 | 15            |
|                                                      | Min Year-To-Date 5km in PNG    |          |                |                        |                        |               |
|                                                      | format                         |          |                |                        |                        |               |
| CRW_SST_MIN_YTD_5KM_PNG                              | Coral Reef Watch SST Min       | 22       | 73628842       | 2025-07-10 00:00:00+00 | 2025-07-31 23:59:59+00 | 15            |
|                                                      | Year-To-Date 5km in PNG format |          |                |                        |                        |               |
| CRW_SST_TREND_7D_5KM                                 | Coral Reef Watch SST Trend     | 22       | 1250682046     | 2025-07-10 00:00:00+00 | 2025-07-31 23:59:59+00 | 15            |
|                                                      | 7-day 5km NetCDF               |          |                |                        |                        |               |
| CRW_SST_TREND_7D_5KM_GLOBAL_PNG                      | Global Coral Reef Watch SST    | 22       | 14950730       | 2025-07-10 00:00:00+00 | 2025-07-31 23:59:59+00 | 15            |
|                                                      | Trend 7-day 5km in PNG format  |          |                |                        |                        |               |
| CRW_SST_TREND_7D_5KM_PNG                             | Coral Reef Watch SST Trend     | 22       | 56195379       | 2025-07-10 00:00:00+00 | 2025-07-31 23:59:59+00 | 15            |
|                                                      | 7-day 5km in PNG format        |          |                |                        |                        |               |
| DCSX                                                 | METOP Level 1b (DCSX) End      | 7728     | 22756158222    | 2025-04-27 21:01:00+00 | 2025-08-02 02:07:00+00 | 90            |
|                                                      | Product                        |          |                |                        |                        |               |
| EFIRE                                                | Enterprise Fire (eFire) VIIRS  | 289505   | 368380929266   | 2025-04-27 22:40:11+00 | 2025-08-02 01:42:14+00 | 90            |
|                                                      | I-Band product                 |          |                |                        |                        |               |
| EFIRE-ASCII                                          | Enterprise Fire (eFire) VIIRS  | 97374    | 1413648338     | 2025-04-27 22:38:46+00 | 2025-08-02 01:40:48+00 | 90            |
|                                                      | I-Band product in format of    |          |                |                        |                        |               |
|                                                      | ASCII                          |          |                |                        |                        |               |
| FRAC                                                 | NESDIS Full Resolution Area    | 258878   | 69750366010778 | 2006-10-30 12:55:51+00 | 2025-08-02 02:07:00+00 | All           |
|                                                      | Coverage Advanced Very High    |          |                |                        |                        |               |
|                                                      | Resolution Radiometer Level 1B |          |                |                        |                        |               |
| FRAC-G1B                                             | METOP Level 1 Granules AVHRR   | 37201    | 1586506441216  | 2025-04-27 22:41:00+00 | 2025-08-02 02:14:00+00 | 90            |
|                                                      | FRAC                           |          |                |                        |                        |               |
| GAASP_L1B                                            | GAASP L1B product              | 185      | 56409441640    | 2025-07-19 22:53:59+00 | 2025-08-02 00:03:01+00 | 7             |
| GATMO                                                | ATMS SDR ellipsoid geolocation | 983341   | 115365866060   | 2025-04-01 16:10:10+00 | 2025-08-02 02:33:39+00 | 120           |
|                                                      | data in HDF5 format            |          |                |                        |                        |               |
| GBBEPX-ALL01GRID                                     | Blended Global Biomass Burning | 97       | 326833666      | 2025-04-26 00:00:00+00 | 2025-07-31 23:59:59+00 | 90            |
|                                                      | Emissions Product- All 1 grid  |          |                |                        |                        |               |
| GBBEPX-BC-EMISSIONS                                  | Blended Global Biomass Burning | 97       | 20067963       | 2025-04-26 00:00:00+00 | 2025-07-31 23:59:59+00 | 90            |
